# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 2.892381e-06 3.367193e-07 1
4.69 2.422950e-06 8.010473e-08 10
5.86 2.763064e-06 4.915520e-08 31
7.32 3.192371e-06 3.402587e-08 90
9.16 3.124363e-06 8.816545e-08 13
11.44 4.725356e-06 1.007486e-07 14
14.31 2.436456e-06 2.826870e-08 115
17.88 1.885233e-06 4.024789e-08 21
22.35 2.938199e-06 2.512977e-08 128
27.94 3.140615e-06 2.767748e-08 136
34.92 4.125293e-06 3.047465e-08 135
43.66 3.864007e-06 2.524901e-08 162
54.57 4.519401e-06 2.936977e-08 236
68.21 3.949448e-06 2.476050e-08 268
85.27 5.072613e-06 2.607771e-08 338
106.58 6.290457e-06 3.118288e-08 442
133.23 8.428685e-06 3.857100e-08 507
166.53 1.085188e-05 5.070580e-08 599
208.17 1.229135e-05 5.265341e-08 732
260.21 1.167596e-05 5.189834e-08 810
325.26 1.069692e-05 4.907422e-08 1004
406.58 9.691532e-06 4.701613e-08 1197
508.22 1.056054e-05 4.979364e-08 1444
635.27 9.299843e-06 5.078968e-08 1494
794.09 8.944107e-06 6.283795e-08 1310
992.62 1.132314e-05 1.250934e-07 1193
1240.77 8.985430e-06 1.460117e-07 739
