# tau DDM DDMerr n_pairs
3.00 1.867757e-05 3.392772e-06 1
3.75 4.987859e-06 5.403790e-07 2
4.69 3.044599e-06 1.065181e-07 14
5.86 6.727937e-06 9.985745e-08 21
7.32 3.599674e-06 5.158779e-08 73
9.16 1.981145e-06 1.046227e-07 11
11.44 9.155352e-06 1.917527e-07 15
14.31 1.000000e-08 4.301339e-23 89
17.88 5.642641e-06 8.536959e-08 33
22.35 5.301267e-06 4.691181e-08 106
27.94 1.159916e-06 6.776264e-21 121
34.92 8.668411e-06 6.367323e-08 126
43.66 1.177516e-06 1.482308e-20 155
54.57 1.000000e-08 4.301339e-23 205
68.21 4.900095e-07 9.423242e-21 253
85.27 1.117530e-05 6.618386e-08 315
106.58 1.722405e-07 2.091113e-21 400
133.23 1.007981e-08 1.025704e-22 467
166.53 2.500000e-07 2.011703e-21 564
208.17 6.400000e-07 8.893846e-21 698
260.21 3.390008e-06 5.844527e-20 827
325.26 4.000000e-06 6.776264e-20 950
406.58 1.586322e-05 7.519586e-08 1103
508.22 1.552955e-05 8.096312e-08 1206
635.27 2.092765e-05 9.275583e-08 1160
794.09 1.455183e-05 6.744990e-08 1035
992.62 1.160375e-05 5.376652e-08 629
1240.77 4.443111e-06 3.450348e-08 150
