# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
#3.75 -nan -nan 0
4.69 3.578732e-05 1.147741e-06 17
5.86 2.254602e-05 7.067293e-07 24
7.32 1.759388e-04 2.547875e-18 69
9.16 1.992695e-05 8.239609e-07 18
11.44 4.201679e-05 1.352585e-06 18
14.31 1.416100e-04 2.656295e-18 89
17.88 2.780865e-05 7.250657e-07 42
22.35 2.340900e-04 1.219727e-18 109
27.94 3.003825e-05 4.537615e-07 125
34.92 3.010315e-05 4.304212e-07 127
43.66 3.279309e-05 4.476626e-07 164
54.57 2.992618e-05 3.951914e-07 221
68.21 5.354380e-05 4.012902e-07 272
85.27 4.784894e-04 4.987330e-18 335
106.58 1.475122e-04 1.273938e-18 434
133.23 4.213117e-05 4.760331e-07 483
166.53 1.568032e-04 2.873136e-18 584
208.17 2.214883e-04 3.984443e-18 725
260.21 7.562500e-04 1.333569e-17 859
325.26 6.157342e-05 4.096517e-07 1058
406.58 4.744555e-06 4.065758e-20 1253
508.22 8.729007e-05 4.136575e-07 1428
635.27 1.104434e-04 4.563759e-07 1446
794.09 1.547681e-04 6.340280e-07 1427
992.62 2.360165e-04 9.331203e-07 1102
1240.77 2.969063e-04 1.363238e-06 629
1550.96 1.976387e-04 5.291626e-06 143
