# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
#3.75 -nan -nan 0
4.69 1.790980e-07 1.543922e-08 9
5.86 2.432537e-07 1.406543e-08 19
7.32 4.308781e-07 1.363633e-08 34
9.16 2.640138e-07 1.774153e-08 9
11.44 3.714054e-07 5.377423e-08 5
14.31 1.004788e-06 1.354323e-08 54
17.88 7.629252e-07 2.071928e-08 18
22.35 9.180752e-07 1.064694e-08 61
27.94 1.271717e-06 1.425457e-08 64
34.92 1.683375e-06 1.573100e-08 65
43.66 2.788648e-06 1.782676e-08 87
54.57 3.275923e-06 2.551980e-08 113
68.21 4.402831e-06 2.915274e-08 142
85.27 4.190740e-06 2.668996e-08 164
106.58 4.369175e-06 2.836790e-08 218
133.23 5.228480e-06 2.800818e-08 235
166.53 6.252917e-06 3.604266e-08 273
208.17 6.891344e-06 4.221012e-08 316
260.21 9.389655e-06 5.783529e-08 339
325.26 1.104769e-05 7.865996e-08 349
406.58 1.265545e-05 1.065181e-07 296
508.22 1.341399e-05 1.690464e-07 180
