# tau DDM DDMerr n_pairs
3.00 5.364811e-07 9.737702e-08 5
3.75 2.847968e-07 6.028312e-08 2
4.69 1.839417e-07 1.331098e-08 10
5.86 2.423345e-07 9.503154e-09 27
7.32 3.069625e-07 8.214123e-09 66
9.16 3.579277e-07 1.661956e-08 19
11.44 3.352145e-07 2.056210e-08 14
14.31 2.006512e-07 5.281149e-09 92
17.88 5.111832e-07 1.686953e-08 35
22.35 2.121744e-07 4.876286e-09 109
27.94 2.772899e-07 5.455560e-09 125
34.92 2.865373e-07 5.885095e-09 128
43.66 2.626410e-07 5.319435e-09 163
54.57 3.197942e-07 5.567347e-09 213
68.21 3.731345e-07 5.860460e-09 260
85.27 4.124061e-07 6.056070e-09 311
106.58 4.748904e-07 6.391260e-09 400
133.23 5.391735e-07 6.526890e-09 464
166.53 6.186299e-07 6.754808e-09 551
208.17 8.566344e-07 7.948701e-09 693
260.21 1.346077e-06 1.122987e-08 784
325.26 1.953792e-06 1.351600e-08 920
406.58 2.268194e-06 1.453350e-08 1068
508.22 3.177411e-06 2.137717e-08 1167
635.27 5.088827e-06 3.239675e-08 1070
794.09 8.911251e-06 5.706840e-08 963
992.62 1.080283e-05 9.825684e-08 485
