# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 8.618168e-02 8.508602e-02 1
4.69 1.050099e-01 2.162629e-02 5
5.86 8.425118e-02 8.721542e-03 13
7.32 2.986511e-01 1.296920e-02 40
9.16 4.682067e-01 3.911676e-02 8
11.44 3.046362e-01 2.812143e-02 9
14.31 2.406927e-01 9.209197e-03 48
17.88 2.700137e-01 1.700522e-02 20
22.35 2.557229e-01 9.820837e-03 55
27.94 1.874324e-01 8.346902e-03 64
34.92 1.809044e-01 7.443629e-03 66
43.66 2.208202e-01 8.314428e-03 88
54.57 2.360610e-01 8.361904e-03 109
68.21 2.166658e-01 7.901367e-03 140
85.27 2.114998e-01 7.235250e-03 164
106.58 2.212902e-01 7.771013e-03 211
133.23 2.127117e-01 7.437119e-03 231
166.53 2.227115e-01 8.056165e-03 264
208.17 2.473607e-01 9.429245e-03 314
260.21 2.306645e-01 7.799405e-03 331
325.26 2.773491e-01 8.522886e-03 335
406.58 2.804609e-01 1.027368e-02 289
508.22 3.816090e-01 1.911904e-02 176
