# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 2.003205e-08 2.496940e-08 1
#4.69 -nan -nan 0
5.86 2.950896e-06 4.408582e-07 2
7.32 2.375278e-06 3.818842e-08 107
9.16 4.775566e-06 2.577621e-07 4
11.44 3.610649e-06 1.899770e-07 4
14.31 2.090777e-06 3.388637e-08 104
17.88 9.325629e-07 7.302432e-08 10
22.35 2.104526e-06 3.392047e-08 109
27.94 2.634116e-06 3.684635e-08 113
34.92 2.753320e-06 3.823891e-08 118
43.66 2.615525e-06 3.591453e-08 121
54.57 3.387089e-06 3.759445e-08 213
68.21 2.703692e-06 3.004509e-08 234
85.27 3.290328e-06 3.677721e-08 306
106.58 3.406753e-06 3.511410e-08 385
133.23 4.649471e-06 4.417344e-08 442
166.53 4.139474e-06 4.170646e-08 505
208.17 3.932420e-06 3.968159e-08 664
260.21 4.301204e-06 4.056337e-08 724
325.26 3.490239e-06 3.419339e-08 856
406.58 4.287416e-06 3.957185e-08 1032
508.22 5.227254e-06 4.680531e-08 1119
635.27 5.463617e-06 5.571319e-08 1026
794.09 5.966398e-06 7.201534e-08 846
992.62 7.662821e-06 1.388208e-07 522
