# tau DDM DDMerr n_pairs
3.00 1.160092e-06 1.786675e-07 2
3.75 3.823516e-07 1.516298e-07 1
4.69 1.227335e-05 1.099015e-06 1
5.86 3.402383e-06 1.831161e-07 3
7.32 1.191474e-06 1.807049e-08 103
9.16 2.038034e-06 1.140977e-07 2
11.44 2.907212e-06 1.474565e-07 5
14.31 1.222388e-06 1.885674e-08 101
17.88 3.327895e-07 2.636081e-08 9
22.35 9.482227e-07 1.544037e-08 108
27.94 1.111130e-06 1.815938e-08 109
34.92 1.190505e-06 1.778279e-08 112
43.66 1.317553e-06 1.998027e-08 125
54.57 1.265918e-06 1.666603e-08 203
68.21 1.968291e-06 2.048812e-08 233
85.27 1.564133e-06 1.595927e-08 292
106.58 2.345709e-06 1.990585e-08 376
133.23 2.490797e-06 2.103059e-08 424
166.53 3.544380e-06 2.750246e-08 497
208.17 4.311982e-06 3.248758e-08 641
260.21 4.570057e-06 3.742886e-08 709
325.26 5.584863e-06 4.523121e-08 835
406.58 5.761915e-06 5.253846e-08 991
508.22 4.793410e-06 5.158436e-08 1057
635.27 2.572652e-06 3.616511e-08 1020
794.09 1.874592e-06 3.690953e-08 841
992.62 1.855276e-06 4.905567e-08 498
