# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 1.148051e-06 7.870783e-07 1
4.69 3.845017e-05 4.892769e-06 1
5.86 7.953922e-06 8.753559e-07 4
7.32 7.610052e-06 1.367503e-07 102
9.16 5.016658e-06 8.879666e-07 3
11.44 1.837902e-05 1.995354e-06 3
14.31 8.202267e-06 1.274929e-07 104
17.88 1.306084e-05 9.307610e-07 7
22.35 8.005177e-06 1.236028e-07 110
27.94 1.005537e-05 1.555501e-07 111
34.92 1.142762e-05 1.573924e-07 113
43.66 1.296004e-05 1.651178e-07 126
54.57 1.282248e-05 1.413970e-07 209
68.21 1.777879e-05 1.667515e-07 230
85.27 2.176997e-05 1.588738e-07 299
106.58 2.990799e-05 1.667149e-07 381
133.23 3.943941e-05 1.994833e-07 431
166.53 5.201631e-05 2.659604e-07 498
208.17 7.669070e-05 3.536781e-07 651
260.21 9.211580e-05 4.377709e-07 709
325.26 1.101677e-04 5.002843e-07 839
406.58 1.122520e-04 4.509524e-07 1037
508.22 9.128545e-05 4.654046e-07 1117
635.27 1.129144e-04 6.859115e-07 1029
794.09 2.950662e-04 1.565304e-06 860
992.62 4.899147e-04 3.007897e-06 575
