# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 4.017253e-06 6.975079e-07 1
#o4.69 -nan -nan 0
5.86 4.108913e-06 6.264103e-07 3
7.32 1.825642e-06 4.070702e-08 103
9.16 2.212758e-06 1.753538e-07 5
11.44 2.456621e-06 2.604494e-07 2
14.31 1.746575e-06 3.823780e-08 105
17.88 1.885540e-06 1.189599e-07 8
22.35 1.574672e-06 3.612130e-08 108
27.94 1.468374e-06 3.698717e-08 112
34.92 2.092842e-06 4.227689e-08 111
43.66 1.496832e-06 3.386290e-08 129
54.57 2.079265e-06 3.931370e-08 208
68.21 1.954564e-06 3.544439e-08 231
85.27 2.000959e-06 3.916670e-08 301
106.58 2.269811e-06 4.224284e-08 385
133.23 2.098917e-06 3.960005e-08 432
166.53 2.312798e-06 4.309061e-08 501
208.17 2.203614e-06 3.918119e-08 661
260.21 2.164516e-06 4.022617e-08 720
325.26 2.303101e-06 4.217107e-08 832
406.58 2.303998e-06 4.310635e-08 1001
508.22 2.138468e-06 4.142246e-08 1102
635.27 2.259011e-06 4.226191e-08 1075
794.09 2.369558e-06 5.709028e-08 942
992.62 2.827284e-06 9.588517e-08 601
