# tau DDM DDMerr n_pairs
3.00 2.502886e-07 1.708608e-08 1
3.75 2.914266e-06 2.625997e-08 6
4.69 1.902516e-07 1.973720e-08 2
5.86 6.301964e-08 5.956557e-09 2
7.32 5.490229e-07 1.401300e-09 109
9.16 1.666004e-06 2.089945e-08 5
11.44 8.708585e-07 1.104259e-08 7
14.31 5.961281e-07 1.568973e-09 109
17.88 9.947137e-07 7.845250e-09 16
22.35 6.771816e-07 1.548338e-09 118
27.94 6.948867e-07 1.525905e-09 118
34.92 9.287080e-07 1.776699e-09 132
43.66 9.800296e-07 1.933636e-09 144
54.57 1.193155e-06 1.910373e-09 229
68.21 1.129907e-06 1.633741e-09 274
85.27 1.298298e-06 1.606572e-09 327
106.58 1.851978e-06 1.855527e-09 429
133.23 2.346511e-06 2.094606e-09 490
166.53 2.952269e-06 2.349179e-09 572
208.17 3.956887e-06 2.846805e-09 739
260.21 4.776925e-06 3.370437e-09 812
325.26 6.187672e-06 4.224323e-09 946
406.58 7.620795e-06 5.324348e-09 1156
508.22 8.381583e-06 5.997707e-09 1295
635.27 1.003626e-05 6.924552e-09 1263
794.09 8.861003e-06 7.826823e-09 1152
992.62 1.303466e-05 1.454251e-08 857
1240.77 2.499840e-05 5.697490e-08 166
