# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 1.144991e-08 1.619969e-08 1
#4.69 -nan -nan 0
5.86 1.942704e-06 4.162764e-07 3
7.32 2.259118e-06 4.728705e-08 90
9.16 3.752830e-07 7.288443e-08 2
11.44 1.064990e-06 1.537946e-07 2
14.31 2.339688e-06 4.509955e-08 89
17.88 4.961557e-07 6.538251e-08 6
22.35 3.349628e-06 5.534610e-08 97
27.94 3.600063e-06 5.785501e-08 96
34.92 5.227649e-06 7.754926e-08 95
43.66 3.243254e-06 5.271845e-08 114
54.57 4.284952e-06 5.941846e-08 175
68.21 4.083460e-06 5.625848e-08 202
85.27 4.896840e-06 6.334015e-08 255
106.58 5.004963e-06 6.192572e-08 324
133.23 4.924133e-06 6.006803e-08 370
166.53 5.384188e-06 6.678749e-08 428
208.17 7.903721e-06 9.265458e-08 554
260.21 6.417772e-06 7.192351e-08 606
325.26 6.379877e-06 7.079286e-08 694
406.58 7.500335e-06 7.860807e-08 815
508.22 1.080876e-05 1.202330e-07 879
635.27 1.676700e-05 1.913601e-07 844
794.09 1.850197e-05 2.310764e-07 707
992.62 1.562546e-05 2.790944e-07 302
