# tau DDM DDMerr n_pairs
3.00 4.790942e-07 6.754017e-07 1
3.75 6.142249e-07 8.840364e-07 1
#4.69 -nan -nan 0
#5.86 -nan -nan 0
7.32 4.875054e-06 1.715416e-07 65
9.16 3.917994e-07 5.791352e-07 1
11.44 5.670011e-07 1.506031e-07 3
14.31 6.731723e-06 2.081236e-07 62
17.88 2.642880e-06 2.719930e-07 6
22.35 6.919238e-06 2.087619e-07 60
27.94 5.001976e-06 1.799468e-07 59
34.92 6.083121e-06 1.787918e-07 68
43.66 4.661558e-06 1.654543e-07 72
54.57 8.564960e-06 2.074907e-07 110
68.21 7.701833e-06 1.893100e-07 142
85.27 8.765346e-06 1.941426e-07 163
106.58 6.950489e-06 1.593939e-07 212
133.23 4.138884e-06 1.281212e-07 219
166.53 4.679967e-06 1.268909e-07 259
208.17 8.318285e-06 1.715683e-07 318
260.21 8.590599e-06 1.722187e-07 345
325.26 5.958688e-06 1.372231e-07 362
406.58 8.301958e-06 1.759836e-07 410
508.22 1.307583e-05 2.857830e-07 388
635.27 1.944919e-05 5.212594e-07 222
