# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
#3.75 -nan -nan 0
4.69 2.981080e-03 4.043405e-04 1
#5.86 -nan -nan 0
7.32 7.727771e-04 1.896746e-05 64
9.16 9.915797e-04 1.767536e-04 2
11.44 2.391984e-03 2.547773e-04 1
14.31 5.838420e-04 1.463412e-05 61
17.88 1.304518e-03 1.052378e-04 6
22.35 7.216859e-04 1.560789e-05 64
27.94 9.649301e-04 2.271587e-05 59
34.92 8.980175e-04 1.973804e-05 65
43.66 5.151821e-04 1.378153e-05 70
54.57 5.955172e-04 1.349968e-05 112
68.21 8.009275e-04 1.589389e-05 138
85.27 7.415250e-04 1.637918e-05 160
106.58 6.466750e-04 1.359243e-05 201
133.23 7.534055e-04 1.428315e-05 228
166.53 7.622907e-04 1.551455e-05 252
208.17 7.625365e-04 1.584824e-05 313
260.21 8.497701e-04 1.792859e-05 327
325.26 8.696751e-04 1.780816e-05 348
406.58 7.755116e-04 1.598558e-05 416
508.22 6.435452e-04 1.708339e-05 377
635.27 7.662962e-04 2.808520e-05 209
