# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
#3.75 -nan -nan 0
4.69 4.076598e-07 2.786123e-07 1
5.86 8.271721e-07 2.408788e-07 1
7.32 1.761755e-06 5.697832e-08 60
9.16 2.506175e-06 4.691375e-07 2
11.44 6.548944e-07 2.294115e-07 1
14.31 2.005164e-06 5.631885e-08 56
17.88 3.567318e-07 7.075948e-08 6
22.35 3.345301e-06 7.842773e-08 58
27.94 3.008418e-06 7.401256e-08 57
34.92 3.682569e-06 8.451760e-08 63
43.66 2.740387e-06 6.824281e-08 64
54.57 3.116379e-06 7.292630e-08 110
68.21 3.146735e-06 6.786241e-08 125
85.27 3.623038e-06 6.995546e-08 160
106.58 3.135708e-06 6.293958e-08 198
133.23 3.908099e-06 7.065773e-08 216
166.53 3.329556e-06 6.441345e-08 241
208.17 3.876730e-06 7.375302e-08 304
260.21 4.861125e-06 8.727462e-08 327
325.26 4.706691e-06 8.948742e-08 343
406.58 4.641813e-06 9.295058e-08 384
508.22 3.895953e-06 1.060802e-07 355
635.27 3.158547e-06 1.325039e-07 180
